name,iata,type,latitude,longitude
Sahnewal,LUH,small,30.850359856170176,75.95707224036518
Solapur,SSE,mid,17.625415183635024,75.93305977107549
Birsa Munda,IXR,mid,23.317724598996193,85.3235970368767
Ahwaz,AWZ,mid,31.343158556075725,48.74710654359313
Gwalior,GWL,mid and military,26.28548769793701,78.21721865463483
Hodeidah Int'l,HOD,mid,14.755253441372462,42.97109630194003
Devi Ahilyabai Holkar Int'l,IDR,mid,22.72774918757095,75.8092915005895
Gandhinagar,ISK,mid,19.966020567280626,73.81056749246886
Chandigarh Int'l,IXC,major and military,30.670724894966725,76.80172611052417
Aurangabad,IXU,mid,19.867296962108234,75.39584329220051
Faisalabad Int'l,LYP,mid and military,31.362743548086222,72.9878190922305
Omsk Tsentralny,OMS,mid,54.95764829340594,73.3163595376585
Novosibirsk Tolmachev,OVB,mid,55.00958471362636,82.66715245258652
Zaporozhye Int'l,OZH,mid and military,47.873263557902284,35.30187285752786
Simpang Tiga,PKU,mid,0.4646008729985052,101.44656929844086
Rota Int'l,ROP,mid,14.171771297121616,145.24398029858185
Surgut,SGC,mid,61.340167219448126,73.40849647643748
Tiruchirappalli,TRZ,mid,10.76035713065535,78.7089578747476
Turbat Int'l,TUK,mid,25.988794590011004,63.027933351918136
Quetta Int'l,UET,mid,30.249043186181034,66.94873114809494
Zahedan Int'l,ZAH,mid,29.475294195657344,60.90070856491495
Abdul Rachman Saleh,MLG,mid and military,-7.929980028405668,112.71141861725775
Barnaul,BAX,mid,53.3633850813046,83.55045321240377
Adampur,"",military mid,31.43294223977149,75.75848284560045
Bareilly,"",military,28.421808716114356,79.45200268765704
Dhamial,"",small,33.56141462788605,73.03204983920023
Cheongju Int'l,CJJ,major,36.72202277666726,127.49591612468085
Gwangju,KWJ,mid and military,35.14000513901977,126.81083948122644
Daegu Int'l,TAE,mid,35.89992779690866,128.63753769993312
Ulsan,USN,mid,35.59289575271069,129.35573104752825
Radin Inten II,TKG,mid,-5.242566777131995,105.17606041916142
Allahabad,IXD,military,25.443522027820965,81.73172714621872
Chelyabinsk,CEK,mid,55.29779194960553,61.51225897402009
Tainan,TNN,military mid,22.950667918346994,120.20973331809326
Taichung,RMQ,military mid,24.26665555671146,120.63070354758395
Rotterdam The Hague,RTM,mid,51.94913018993815,4.433844349628765
Voronezh-Chertovitskoye,VOZ,mid,51.81261712683441,39.22544964479734
Liverpool John Lennon,LPL,major,53.336375105442215,-2.858620657849379
Vishakapatnam,VTZ,mid,17.7279577384364,83.2235216387465
Sultan Hasanuddin Int'l,UPG,major,-5.058936894557788,119.54569134215063
