type, name, country, latitude, longitude, elevation, population
city, Ras al-Khaimah, AE, 25.78953, 55.9432, 2, 115949
city, Dubai, AE, 25.25817, 55.30472, 11, 1137347
city, Sharjah, AE, 25.33737, 55.41206, 6, 543733
city, Al Ain, AE, 24.19167, 55.76056, 275, 408733
city, Ajman, AE, 25.41111, 55.43504, 4, 226172
city, Abu Dhabi, AE, 24.46667, 54.36667, 6, 603492
city, Mazār-e Sharīf, AF, 36.70904, 67.11087, 361, 303282
city, Kunduz, AF, 36.72896, 68.857, 402, 161902
city, Kandahār, AF, 31.61332, 65.71013, 1007, 391190
city, Kabul, AF, 34.52813, 69.17233, 1798, 3043532
city, Jalālābād, AF, 34.42647, 70.45153, 575, 200331
city, Herāt, AF, 34.34817, 62.19967, 927, 272806
city, Ghazni, AF, 33.55391, 68.42096, 2179, 141000
city, Gardēz, AF, 33.59744, 69.22592, 2308, 103601
city, Balkh, AF, 36.75635, 66.8972, 348, 114883
city, Baghlān, AF, 36.13068, 68.70829, 531, 108449
city, Elbasan, AL, 41.1125, 20.08222, 128, 100903
city, Tirana, AL, 41.3275, 19.81889, 113, 374801
city, Durrës, AL, 41.32306, 19.44139, 13, 122034
city, Yerevan, AM, 40.18111, 44.51361, 994, 1093485
city, Vanadzor, AM, 40.80456, 44.4939, 1344, 101098
city, Gyumri, AM, 40.7942, 43.84528, 1549, 148381
city, N’dalatando, AO, -9.29782, 14.91162, 795, 383100
city, Luanda, AO, -8.83682, 13.23432, 73, 2776168
city, Lubango, AO, -14.91717, 13.4925, 1760, 102541
city, Lobito, AO, -12.3644, 13.53601, 4, 207932
city, Cuito, AO, -12.38333, 16.93333, 1715, 113624
city, Huambo, AO, -12.77611, 15.73917, 1716, 226145
city, Benguela, AO, -12.57626, 13.40547, 11, 151226
city, Villa Lugano, AR, -34.67907, -58.47262, 19, 114000
city, Tandil, AR, -37.32167, -59.13316, 192, 104325
city, Resistencia, AR, -27.46056, -58.98389, 56, 387158
city, Quilmes, AR, -34.72418, -58.25265, 24, 518788
city, Posadas, AR, -27.36708, -55.89608, 127, 323739
city, Morón, AR, -34.65344, -58.61975, 29, 319934
city, Mar del Plata, AR, -38.00228, -57.55754, 15, 553935
city, La Plata, AR, -34.92145, -57.95453, 27, 694167
city, Formosa, AR, -26.17753, -58.17814, 70, 221383
city, Corrientes, AR, -27.4806, -58.8341, 63, 339067
city, Concordia, AR, -31.39296, -58.02089, 30, 145210
city, Buenos Aires, AR, -34.61315, -58.37723, 31, 13076300
city, Santiago del Estero, AR, -27.79511, -64.26149, 188, 354692
city, Santa Rosa, AR, -36.61667, -64.28333, 179, 111424
city, Santa Fe de la Vera Cruz, AR, -31.63333, -60.7, 21, 489505
city, San Salvador de Jujuy, AR, -24.19456, -65.29712, 1260, 305891
city, San Rafael, AR, -34.61772, -68.33007, 702, 109163
city, San Nicolás de los Arroyos, AR, -33.33578, -60.22523, 25, 127742
city, San Miguel de Tucumán, AR, -26.82414, -65.2226, 452, 781023
city, San Luis, AR, -33.29501, -66.33563, 729, 183982
city, San Juan, AR, -31.5375, -68.53639, 649, 447048
city, San Fernando del Valle de Catamarca, AR, -28.46957, -65.78524, 545, 188812
city, Salta, AR, -24.7859, -65.41166, 1183, 512686
city, Rosario, AR, -32.94682, -60.63932, 38, 1173533
city, Río Cuarto, AR, -33.13067, -64.34992, 441, 153757
city, Paraná, AR, -31.73197, -60.5238, 60, 262295
city, Neuquén, AR, -38.95161, -68.0591, 281, 242092
city, Mendoza, AR, -32.89084, -68.82717, 746, 876884
city, La Rioja, AR, -29.41105, -66.85067, 502, 162620
city, Córdoba, AR, -31.4135, -64.18105, 395, 1428214
city, Comodoro Rivadavia, AR, -45.86414, -67.49656, 65, 140850
city, Bahía Blanca, AR, -38.7196, -62.27243, 24, 276546
city, Vienna, AT, 48.20849, 16.37208, 193, 1691468
city, Salzburg, AT, 47.79941, 13.04399, 435, 150269
city, Linz, AT, 48.30639, 14.28611, 268, 181162
city, Innsbruck, AT, 47.26266, 11.39454, 587, 112467
city, Graz, AT, 47.06667, 15.45, 363, 222326
city, Rockingham, AU, -32.27682, 115.72978, 8, 108022
city, Perth, AU, -31.95224, 115.8614, 34, 1896548
city, Darwin, AU, -12.46113, 130.84185, 31, 129062
city, Adelaide, AU, -34.92866, 138.59863, 59, 1225235
city, Townsville, AU, -19.26639, 146.8057, 15, 196219
city, Toowoomba, AU, -27.56056, 151.95386, 599, 131258
city, Sydney, AU, -33.86785, 151.20732, 58, 4627345
city, Newcastle, AU, -32.92715, 151.77647, 21, 308308
city, Melbourne, AU, -37.814, 144.96332, 25, 4246375
city, Launceston, AU, -41.43876, 147.13467, 11, 106153
city, Hobart, AU, -42.87936, 147.32941, 19, 216656
city, Gold Coast, AU, -28.00029, 153.43088, 12, 591473
city, Geelong, AU, -38.14711, 144.36069, 23, 226034
city, Wollongong, AU, -34.424, 150.89345, 29, 292190
city, Canberra, AU, -35.28346, 149.12807, 571, 367752
city, Cairns, AU, -16.92304, 145.76625, 7, 153075
city, Brisbane, AU, -27.46794, 153.02809, 27, 2189878
city, Bendigo, AU, -36.75818, 144.28024, 221, 100617
city, Logan City, AU, -27.63917, 153.10944, 39, 282673
city, Lǝnkǝran, AZ, 38.75428, 48.85062, -22, 240300
city, Sumqayıt, AZ, 40.58972, 49.66861, -11, 265150
city, Ganja, AZ, 40.68278, 46.36056, 417, 313300
city, Baku, AZ, 40.37767, 49.89201, -23, 1116513
city, Zenica, BA, 44.20169, 17.90397, 325, 164423
city, Tuzla, BA, 44.53842, 18.66709, 225, 142486
city, Sarajevo, BA, 43.84864, 18.35644, 509, 696731
city, Mostar, BA, 43.34333, 17.80806, 66, 104518
city, Banja Luka, BA, 44.77583, 17.18556, 166, 221106
city, Tungi, BD, 23.89154, 90.40232, 13, 337579
city, Sylhet, BD, 24.89904, 91.87198, 26, 237000
city, Jamālpur, BD, 24.91965, 89.94812, 23, 167900
city, Sātkhira, BD, 22.70817, 89.07185, 11, 128918
city, Sirājganj, BD, 24.45771, 89.70802, 19, 127481
city, Narsingdi, BD, 23.92298, 90.71768, 13, 281080
city, Shāhzādpur, BD, 24.17687, 89.5988, 16, 102420
city, Rājshāhi, BD, 24.374, 88.60114, 23, 700133
city, Nārāyanganj, BD, 23.61352, 90.50298, 13, 223622
city, Nāgarpur, BD, 24.05783, 89.87696, 15, 238422
city, Mymensingh, BD, 24.75636, 90.40646, 19, 225126
city, Comilla, BD, 23.46186, 91.18504, 17, 389411
city, Rangpur, BD, 25.74664, 89.25166, 36, 343122
city, Kushtia, BD, 23.9028, 89.11943, 17, 135724
city, Dhaka, BD, 23.7104, 90.40744, 23, 10356500
city, Bhairab Bāzār, BD, 24.0524, 90.9764, 12, 105457
city, Pār Naogaon, BD, 24.80418, 88.94875, 20, 192464
city, Farīdpur, BD, 23.60612, 89.84064, 15, 112187
city, Dinājpur, BD, 25.62745, 88.63779, 42, 206234
city, Chittagong, BD, 22.3384, 91.83168, 15, 3920222
city, Cox’s Bāzār, BD, 21.45388, 91.96765, 8, 253788
city, Khulna, BD, 22.80978, 89.56439, 8, 1342339
city, Barisāl, BD, 22.70497, 90.37013, 10, 202242
city, Jessore, BD, 23.16971, 89.21371, 15, 243987
city, Pābna, BD, 24.00644, 89.2372, 19, 186781
city, Tāngāil, BD, 24.24984, 89.91655, 17, 180144
city, Bogra, BD, 24.85098, 89.37108, 26, 210000
city, Nawābganj, BD, 24.59025, 88.27444, 28, 142361
city, Sherpur, BD, 25.01881, 90.01751, 25, 107419
city, Saidpur, BD, 25.77769, 88.89169, 43, 199422
city, Namur, BE, 50.4669, 4.86746, 88, 106284
city, Liège, BE, 50.63373, 5.56749, 66, 182597
city, Gent, BE, 51.05, 3.71667, 10, 231493
city, Charleroi, BE, 50.41136, 4.44448, 136, 200132
city, Brussels, BE, 50.85045, 4.34878, 28, 1019022
city, Brugge, BE, 51.20892, 3.22424, 13, 116709
city, Antwerpen, BE, 51.21989, 4.40346, 10, 459805
city, Ouagadougou, BF, 12.36566, -1.53388, 299, 1086505
city, Bobo-Dioulasso, BF, 11.17715, -4.2979, 423, 360106
city, Varna, BG, 43.21667, 27.91667, 54, 312770
city, Stara Zagora, BG, 42.43278, 25.64194, 205, 143431
city, Sofia, BG, 42.69751, 23.32415, 562, 1152556
city, Ruse, BG, 43.85639, 25.97083, 49, 156238
city, Plovdiv, BG, 42.15, 24.75, 169, 340494
city, Pleven, BG, 43.41667, 24.61667, 97, 118675
city, Burgas, BG, 42.50606, 27.46781, 36, 195966
city, Manama, BH, 26.21536, 50.5832, 5, 147074
