name,elevation,latitude,longitude
Mt. Everest,8848,27.98833333,86.92416667
Cerro Aconcagua,6962,-32.65333333,-70.01083333
Denali,6194,63.06944444,-151.00777778
Kilimanjaro,5895,-3.07583333,37.35166667
Pico Cristobal Colon,5700,10.83916667,-73.68638889
Mt. Logan,5959,60.56666667,-140.40388889
Volcan Pico de Orizaba,5636,19.03000000,-97.27083333
Vinson Massif,4892,-78.58333333,-85.41666667
Puncak Jaya,4884,-4.06333333,137.18583333
Gora El/brus,5642,43.35333333,42.43916667
Mont Blanc,4808,45.83250000,6.86444444
Kuh-e Damavand,5610,35.95583333,52.10861111
Kluchevskoy V.,4750,56.05416667,160.64083333
Nanga Parbat,8125,35.23916667,74.59083333
Mauna Kea,4205,19.82055556,-155.46805556
Jengish Chokusu,7439,42.03750000,80.12500000
Chimborazo,6267,-1.46916667,-78.81750000
Bogda Shan,5445,43.80166667,88.33250000
Namcha Barwa I,7782,29.62916667,95.05583333
Gunung Kinabalu,4095,6.07500000,116.55833333
Mt. Rainier,4392,46.85305556,-121.76027778
K2,8611,35.88250000,76.51333333
Volcan Tajumulco,4220,15.04333333,-91.90333333
Ras Dejen,4533,13.23583333,38.37083333
Pico Bolívar,4981,8.54166667,-71.04583333
Mt. Fairweather,4671,58.90638889,-137.52638889
Yu Shan,3952,23.47000000,120.95750000
Ngaliema,5109,0.38416667,29.87333333
Kangchenjunga,8586,27.70250000,88.14666667
Tirich Mir,7708,36.25416667,71.84333333
Mt. Cameroon,4040,4.21750000,9.17166667
Mt. Kenya,5199,-0.15083333,37.30750000
Gunung Kerinci,3805,-1.69666667,101.26416667
Mt. Erebus,3794,-77.53333333,167.16666667
Fujiyama,3776,35.36000000,138.72583333
Jebel Toubkal,4167,31.05916667,-7.91583333
Mt. Cook,3755,-43.60000000,170.13333333
Cerro Chirippo,3820,9.47583333,-83.51000000
Gunung Rinjani,3726,-8.41000000,116.45833333
Pico de Teide,3718,28.27305556,-16.63944444
Cerro San Valentin,4058,-46.59500000,-73.34583333
Gunnbjornsfjeld,3694,68.91666667,-29.90000000
Nevado Ojos del Salado,6893,-27.10916667,-68.54083333
Gunung Semeru,3676,-8.10750000,112.92250000
Finisterre Range HP,4125,-5.95388889,146.37500000
Ritacuba Blanco,5410,6.49416667,-72.29750000
Minya Konka,7556,29.59500000,101.87666667
Ararat,5137,39.70250000,44.30000000
Kongur Shan,7649,38.59416667,75.31333333
Mt. Blackburn,4996,61.73111111,-143.43527778
Mt. Hayes,4216,63.61972222,-146.71833333
Bulu Rantemario,3478,-3.38500000,120.02416667
Mt. Saint Elias,5489,60.29277778,-140.93111111
Pik Imeni Ismail Samani,7495,38.94250000,72.01500000
Dhaulagiri I,8167,28.69666667,83.49000000
Gora Belukha,4506,49.80750000,86.59000000
Cerro Mercedario,6720,-31.97916667,-70.11250000
Jebel an Nabi Shu/ayb,3666,15.27916667,43.97583333
Monte Etna,3323,37.75111111,14.99583333
Monte San Lorenzo,3706,-47.59166667,-72.30666667
Volcan Karisimbi,4507,-1.50833333,29.44500000
Volcan Lautaro,3580,-49.01916667,-73.50666667
Mt. Waddington,4019,51.37222222,-125.26222222
Pico del Mulhacén,3479,37.05444444,-3.31000000
Gunung Slamet,3428,-7.23916667,109.22000000
Kuh-e-Sabalaan,4811,38.26916667,47.83750000
Mt. Marcus Baker,4016,61.43722222,-147.75277778
Cerro del Bolson,5552,-27.21416667,-66.09416667
Sauyr Zhotasy,3840,47.04916667,85.56666667
Tomurty,4886,43.07333333,94.34666667
Yulong Xueshan HP,5596,27.09833333,100.17500000
Mt. Meru,4565,-3.24666667,36.74833333
Shiveluch V.,3307,56.65333333,161.36166667
Nanda Devi,7816,30.37666667,79.97083333
Ichinsky V.,3607,55.67833333,157.71833333
Batura Sar I,7795,36.51000000,74.52250000
Gunung Lawu,3265,-7.62750000,111.19416667
Mt. Siple,3110,-73.25000000,-126.10000000
Pico Duarte,3098,19.03166667,-71.00583333
Manaslu,8163,28.54916667,84.55750000
Mt. Whitney,4418,36.57833333,-118.29666667
Gunung Raung,3332,-8.12583333,114.04583333
Piton des Neiges,3069,-21.09833333,55.47666667
Xuelian Feng,6627,42.26166667,80.89000000
"Red Hill, Haleakala",3055,20.71000000,-156.25305556
Mt. Lucania,5226,61.02166667,-140.46527778
Volcan Popocatepetl,5410,19.02333333,-98.62666667
Gunung Agung,3031,-8.34083333,115.50333333
Gunung Binaiya,3027,-3.17333333,129.45500000
Pico Basilé,3011,3.58333333,8.76666667
Mt. Shasta,4317,41.40888889,-122.19472222
Koryaksky V.,3456,53.32083333,158.71250000
Kangkar Pünzum,7570,28.04833333,90.45416667
Mt. Stephenson,2987,-69.81666667,-69.71666667
Annapurna I,8091,28.59583333,83.82250000
Talghar Shyngy,4978,43.11833333,77.34083333
Mt. Suckling,3676,-9.66916667,149.01083333
Mt. Wilhelm,4509,-5.78000000,145.02916667
Foho Tatamailau,2963,-8.90666667,125.49333333
Mt. Apo,2954,6.98750000,125.27083333
Gyalha Peri,7294,29.81416667,94.96833333
Gunung Leuser,3466,3.79750000,97.21916667
Mt. Paget,2934,-54.45000000,-36.53333333
Monarch Mtn.,3555,51.90166667,-125.87500000
Mt. Pulog,2922,16.59750000,120.89916667
El Mela,4150,-28.86750000,-67.12750000
Emi Koussi,3415,19.79166667,18.55000000
Chakragil,6727,38.86583333,75.10833333
Kuh-e Taftan,3941,28.60000000,61.13250000
Jebel Ash Sham,3019,23.21250000,57.27833333
Shisha Pangma,8027,28.35333333,85.78000000
Pico de Neblina,2994,0.80666667,-66.00500000
Saramati,3826,25.74000000,95.03750000
Maromokotro,2876,-14.02333333,48.96583333
Shishaldin Volcano,2869,54.75527778,-163.96944444
Kuh-e Bandaka,6843,36.17916667,70.98333333
Moncong Lompobatang,2874,-5.34666667,119.93166667
Buni Zom,6542,36.15416667,72.32750000
Mt. Robson,3959,53.11000000,-119.15666667
Pico de Cano,2829,14.95083333,-24.34333333
Kamet I,7756,30.92000000,79.59166667
Rakaposhi,7788,36.14250000,74.48916667
Pico de Aneto,3404,42.63222222,0.65777778
Gunung Arjuna,3339,-7.76416667,112.58916667
Jiuding Shan,4969,31.54333333,103.85333333
Ruapehu,2797,-39.29000000,175.56333333
Gunung Careme,3078,-6.89333333,108.40666667
Qullai Istiqlol,7134,39.34250000,72.87750000
Gurla Mandhata,7694,30.43583333,81.29583333
Redoubt Volcano,3108,60.48472222,-152.74527778
Nevado Huascaran Sur,6746,-9.12166667,-77.60416667
Mt. Elbert,4399,39.11777778,-106.44527778
Nevado de Famatima,6097,-29.01416667,-67.82666667
Cerro Tupungato,6570,-33.35833333,-69.77000000
Pegunungan Arfak,2940,-1.15666667,133.98000000
Puncak Mandala,4760,-4.70833333,140.28916667
Mt. Francais,2760,-64.63333333,-63.45000000
Gunung Argopuro,3088,-7.96416667,113.56666667
Mawson Peak,2745,-53.10416667,73.51750000
Kuh-e Hazar,4500,29.51166667,57.27166667
Mt. Victoria,4038,-8.89250000,147.53333333
Kronotsky V.,3527,54.75250000,160.53250000
Mt. Sir Wilfrid Laurier,3516,52.80138889,-119.73138889
Gunung Tambora,2722,-8.24666667,117.95833333
Nevado de Colima,4270,19.56333333,-103.60833333
Mt. Balbi,2715,-5.90500000,154.99500000
Cerro el Manchao,4575,-28.25833333,-66.04083333
Fuyul Sojol,3030,0.57750000,120.20500000
Mt. Vancouver,4812,60.35861111,-139.69777778
Mt. Sir Sandford,3519,51.65666667,-117.86750000
Mt. Baker,3286,48.77666667,-121.81444444
Monte Cinto,2706,42.38000000,8.94722222
Gunung Kapalatmada,2700,-3.30000000,126.22000000
Muztagh Ata,7509,38.27833333,75.11583333
Pik Karla Marxsa,6723,37.16250000,72.48166667
Pik Dankova,5982,41.05916667,77.68333333
Chaine de la Selle,2680,18.36000000,-71.97666667
Nevado del Huila,5390,2.92416667,-76.02916667
Mt. Torbert,3479,61.40888889,-152.41388889
Cerro Tronador,3470,-41.16083333,-71.88750000
Pico de Bandeira,2890,-20.43416667,-41.79666667
Volcan Lanín,3740,-39.63750000,-71.50250000
Heyuan Feng,5289,43.43833333,86.08333333
Mt. Minto,4165,-71.78333333,168.75000000
Barbeau Peak,2616,81.92666667,-74.98666667
Kuh-e Dinar,4409,30.95166667,51.43750000
Mt. Kirkpatrick,4528,-84.33333333,166.41666667
Paektu-san,2744,41.99333333,128.07750000
Mt. Halcon,2582,13.26250000,120.99500000
Mt. Tagubud,2670,7.44500000,126.22666667
Monte Darwin,2580,-54.65916667,-69.59833333
Gunung Sumbing,3320,-7.38500000,110.07250000
Cerro Tamana,4100,5.16500000,-76.09500000
Yaomei Feng,6250,31.10666667,102.90166667
Koyo Zom,6872,36.73000000,73.24000000
San Jacinto Peak,3304,33.81333333,-116.67750000
Nevado Salcantay,6264,-13.33583333,-72.54916667
Mt. Oiautukekea,2536,-9.33416667,150.20583333
Altun Shan,5830,39.25083333,93.69666667
San Gorgonio Mtn.,3506,34.09916667,-116.82583333
Sante YeTerara Ch/af,4400,6.82583333,39.81750000
Disteghil Sar I,7885,36.32583333,75.18833333
Pidurutalagala,2524,7.00083333,80.77333333
Mt. Parry,2520,-64.26666667,-62.41666667
Mt. Sidley,4285,-77.03333333,-126.10000000
Charleston Peak,3633,36.27166667,-115.69555556
Jebel Marra,3042,12.93333333,24.22750000
Mt. Giluwe,4367,-6.04333333,143.88666667
Pavlof Volcano,2515,55.41944444,-161.89500000
Mt. Veniaminof,2507,56.21972222,-159.29833333
Mt. Oku,3011,6.20166667,10.51750000
Uludoruk,4136,37.48583333,44.00500000
Gora Alagordy,4622,45.04166667,80.25750000
Anai Mudi,2694,10.17000000,77.06083333
Corno Grande,2912,42.47000000,13.56722222
Mt. Adams,3742,46.20250000,-121.49111111
Musala,2925,42.17972222,23.58666667
Kuh-e Safed Khers HP,5326,38.09333333,71.09500000
Mt. Aspiring,3033,-44.38333333,168.73333333
Hung-Wang Shan HP,4330,26.14916667,102.91333333
Mogote Corralitos,3160,-31.31583333,-67.92333333
Skihist Mtn.,2968,50.18777778,-121.90333333
Mt. Elgon,4321,1.11833333,34.52500000
Masherbrum,7821,35.64000000,76.30583333
Mt. Hubbard,4557,60.31888889,-139.07277778
Cerro Tristeza,2596,10.08416667,-63.95833333
Psiloritis,2456,35.22666667,24.77250000
Pico Naiguata,2765,10.54333333,-66.78250000
Gora Bazardyuzi,4466,41.22166667,47.85833333
Nevado Illimani,6438,-16.63333333,-67.79083333
Mayon Volcano,2462,13.25583333,123.68583333
Gunung Dempo,3159,-4.01583333,103.12833333
Bairiga,6882,29.16583333,96.72416667
Pik Pobeda,3003,65.17555556,146.00750000
Kuh-e Chuk Shakh,5467,36.77833333,71.45166667
Mt. Katanglad,2938,8.11583333,124.92333333
Annapurna II,7937,28.53333333,84.12166667
Gunung Merbabu,3145,-7.45500000,110.44000000
Mt. Ratz,3090,57.39305556,-132.30305556
Canlaon Mtn.,2430,10.41000000,123.13000000
Mt. Chamberlin,2749,69.27694444,-144.91166667
Nevado Sajama,6542,-18.10833333,-68.88333333
Pangrango,3019,-6.76916667,106.96500000
Grossglockner,3798,47.07416667,12.69444444
Roque de los Muchachos,2423,28.75472222,-17.88500000
Erciyes Dagi,3917,38.53500000,35.45083333
Mt. Odin,2970,50.55166667,-118.13000000
Nun,7135,33.98000000,76.02166667
Mt. Monashee,3274,52.38527778,-118.94000000
Jebel Katarina,2629,28.51166667,33.95250000
Cotopaxi,5896,-0.68083333,-78.43833333
Kuh-e Zendan,3503,28.07583333,60.01083333
Iliamna Volcano,3053,60.03194444,-153.09027778
Pik Abu Ali Ibn Sino,6940,38.51000000,72.35416667
Dhaulagiri II,7751,28.76250000,83.38916667
Qornet es Saouda,3087,34.30083333,36.11666667
Thabana Ntlenyana,3482,-29.46833333,29.26916667
Mt. Olympus,2429,47.80138889,-123.71083333
Mt. Columbia,3741,52.14722222,-117.44138889
Makalu,8485,27.89000000,87.08833333
Galdhøpiggen,2469,61.63666667,8.31500000
Poco Mandasawu,2370,-8.65166667,120.44833333
Kertau,3282,45.74250000,82.75750000
Le Kartala,2361,-11.75666667,43.36166667
Mt. Queen Bess,3298,51.27166667,-124.56833333
Olympos Oros,2919,40.08277778,22.35111111
Mt. Miller,4160,-83.33333333,165.80000000
Jargalant Hayrhan,3796,47.68750000,92.56333333
Gora Kazbek,5034,42.69916667,44.51833333
Gerlach,2655,49.16416667,20.13583333
Yangra Kangri,7422,28.39250000,85.13000000
Gora Khurumdy,6610,39.45500000,73.56666667
Mt. Cook,4196,60.18638889,-139.97694444
