name,latitude,longitude
Sint Nicolaas,12.4375,-69.92355713
Campana,-34.15333333,-58.95141343
Zarate,-34.09888889,-59.004947
Puerto Belgrano/Bahia Blanca,-38.89444444,-62.10088339
Puerto Galvan/Bahia Blanca,-38.78305556,-62.30053004
Ingeniero White/Bahia Blanca,-38.79194444,-62.25989399
Saint John's,17.12277778,-61.85229682
Fremantle,-32.0475,115.7381037
Botany Bay,-33.97305556,151.2095406
Rockhampton,-23.85111111,151.2842167
Oostende (Ostend),51.23,2.93368669
Zeebrugge,51.33638889,3.20459364
Burgas,42.47,27.45830389
Mina Sulman Port,26.19861111,50.60759717
Sitrah,26.15861111,50.65883392
Saint George,32.37944444,-64.67302709
Mucuripe,-3.7075,-38.47320377
Niteroi,-22.87916667,-43.1246172
Sao Francisco do Sul,-26.23805556,-48.63545347
Chatham,47.03444444,-65.46772674
Clarenville,48.16333333,-53.95689046
Comox,49.67083333,-124.9244405
Esquimalt,48.43638889,-123.4343934
Grand Bank,47.10027778,-55.75106007
North Sydney,46.20888889,-60.2393404
Caraquet,47.79638889,-64.9246172
Chicoutimi,48.43,-71.05265018
Corner Brook,48.96055556,-57.93633687
Digby,44.62527778,-65.75229682
Harbour Grace,47.69027778,-53.21702002
Pictou,45.67472222,-62.70441696
Shelburne,43.74972222,-65.31772674
Sorel,46.04111111,-73.11808009
Springdale,49.49972222,-56.05989399
Saint-John's,47.5625,-52.69234393
Coronel,-37.02833333,-73.15335689
Lota,-37.09805556,-73.15848057
Talcahuano,-36.70527778,-73.10229682
San Antonio,-33.5875,-71.61808009
Haimen,28.69027778,121.4418139
Qinhuangdao,39.90666667,119.5859835
Yantian,22.57416667,114.26702
Yingkou,40.69583333,122.2351001
Moin,10.00555556,-83.07408716
Banes,20.91916667,-75.70335689
Caibarien,22.52916667,-79.46931684
Isabela de Sagua,22.94027778,-80.00759717
Nuevitas,21.56305556,-77.23951708
Famagusta,35.12777778,33.94004711
Cuxhaven,53.86472222,8.707243816
Eckernforde,54.47361111,9.835806832
Nordenham,53.4875,8.489517079
Papenburg,53.09638889,7.368963486
Wismar,53.90638889,11.43916372
Nyborg,55.29888889,10.80689046
Helsingor,56.03444444,12.61702002
Odense,55.46638889,10.52497055
Nyborg,55.30694444,10.78810365
Frederikshavn,57.43777778,10.54146054
Haderslev,55.25111111,9.504416961
Horsens,55.85416667,9.868433451
Kalundborg,55.66944444,11.08598351
Kolding,55.49277778,9.493404005
Nakskov,54.83222222,11.12108363
Nykobing Falster,54.77083333,11.85706714
Randers,56.46027778,10.05265018
Rudkobing,54.93972222,10.704947
Svendborg,55.05861111,10.61702002
Vejle,55.70555556,9.551943463
Skagen,57.71861111,10.58881037
Puerto Plata,19.80361111,-70.70053004
Rio Haina,18.42027778,-70.01808009
Mostaganem,35.93444444,0.071260306
Damietta,31.46666667,31.75918728
Safaga,26.74222222,33.94128386
Algeciras,36.14777778,-5.400353357
Aviles,43.57861111,-5.920023557
Ferrol,43.47972222,-8.250883392
Huelva,37.19277778,-6.935806832
Pasajes,43.32333333,-1.918786808
Rota,36.61944444,-6.334570082
Cadiz,36.52,-6.258833922
Kotka,60.46111111,26.9418139
Veitsiluoto,65.68305556,24.61666667
Arcachon,44.65916667,-1.142343934
Deauville,49.36583333,0.073380448
Fecamp,49.76194444,0.369493522
La Pallice,46.15722222,-1.223910483
